Date,Food ,Beer ,Smoke,Games,Books,Hshld,Clths,Hlth ,Chems,Txtls,Cnstr,Steel,FabPr,ElcEq,Autos,Carry,Mines,Coal ,Oil  ,Util ,Telcm,Servs,BusEq,Paper,Trans,Whlsl,Rtail,Meals,Fin  ,Other
4/1/1962,-4.5975,-3.5975,-12.9975,-11.0475,-8.7475,-7.0375,-8.0175,-11.2375,-6.2375,-7.5375,-7.4775,-10.6075,-7.9575,-10.1675,-5.5175,-10.2175,-7.7375,-10.1175,-3.7075,-3.0175,-4.9375,-3.1175,-12.0175,-7.9375,-6.2775,-5.7875,-4.6175,-9.0975,-7.6975,-2.1275
5/1/1962,-11.23416667,-9.034166667,-14.12416667,-11.37416667,-14.85416667,-10.17416667,-9.994166667,-11.12416667,-8.234166667,-7.484166667,-8.994166667,-7.394166667,-8.094166667,-8.754166667,-5.524166667,-5.564166667,-4.624166667,-9.924166667,-5.104166667,-10.68416667,-7.334166667,-10.95416667,-13.17416667,-11.01416667,-5.154166667,-11.32416667,-9.074166667,-7.444166667,-10.00416667,-11.81416667
6/1/1962,-8.7775,-6.1975,-8.3575,-15.7775,-16.5575,-12.3475,-8.9375,-12.8175,-8.7075,-4.5375,-11.3875,-10.2375,-8.4175,-10.6275,-7.2675,-7.4675,-4.3075,-7.1875,-5.0475,-5.3275,-8.7475,-13.1375,-12.6175,-9.6475,-7.8375,-11.1375,-10.4575,-12.9275,-11.0375,-14.2775
7/1/1962,6.956666667,2.656666667,0.716666667,-2.593333333,6.416666667,9.996666667,7.916666667,7.536666667,6.646666667,5.516666667,5.396666667,2.996666667,4.066666667,9.516666667,7.276666667,9.386666667,3.016666667,10.17666667,4.546666667,7.206666667,6.986666667,10.45666667,12.16666667,3.376666667,3.246666667,5.206666667,3.906666667,4.856666667,8.146666667,8.776666667
8/1/1962,-0.195,4.215,1.415,5.715,3.995,1.125,2.845,-8.155,4.225,-0.955,2.335,-0.565,1.975,3.705,2.845,4.185,3.275,1.205,1.615,2.935,1.345,0.945,2.795,2.665,3.125,4.095,4.185,0.505,3.565,5.575
9/1/1962,-4.951666667,-6.171666667,-7.791666667,-10.54166667,-4.741666667,-9.201666667,-6.561666667,-4.281666667,-2.181666667,-4.631666667,-7.171666667,-8.691666667,-6.411666667,-8.101666667,-3.791666667,-6.081666667,-6.181666667,-4.101666667,-1.961666667,-3.071666667,-6.281666667,-8.411666667,-9.811666667,-6.451666667,-5.611666667,-7.471666667,-6.671666667,-8.881666667,-5.881666667,-4.981666667
10/1/1962,-2.948333333,-2.538333333,-6.868333333,-8.938333333,-0.148333333,0.901666667,-1.098333333,2.241666667,4.651666667,0.911666667,-2.018333333,0.571666667,-0.258333333,2.161666667,2.071666667,1.141666667,0.161666667,-2.178333333,-0.488333333,-1.318333333,2.541666667,-1.518333333,-2.158333333,-1.228333333,3.011666667,-0.948333333,-1.468333333,-5.538333333,-0.908333333,-3.488333333
11/1/1962,12.01416667,11.09416667,11.22416667,15.52416667,12.03416667,14.10416667,9.034166667,17.35416667,11.47416667,10.60416667,13.31416667,14.89416667,13.04416667,13.93416667,7.334166667,11.22416667,8.734166667,10.33416667,10.48416667,7.364166667,6.924166667,12.14416667,14.62416667,13.08416667,16.77416667,13.43416667,10.73416667,13.28416667,13.90416667,15.45416667
12/1/1962,2.570833333,2.220833333,-2.409166667,1.820833333,-3.889166667,0.560833333,-0.329166667,0.650833333,0.900833333,0.500833333,-2.429166667,-4.799166667,0.370833333,0.510833333,2.340833333,-2.229166667,-2.979166667,0.550833333,4.530833333,3.200833333,0.840833333,1.230833333,-1.079166667,-1.629166667,1.090833333,-0.009166667,-0.139166667,-2.539166667,1.370833333,2.020833333
1/1/1963,6.3975,3.7875,1.4775,8.4475,6.3075,5.2175,6.2075,5.4075,4.2175,8.5775,4.3175,7.6875,7.3975,4.7275,5.9675,0.9575,10.4175,8.0075,2.3375,5.0175,3.8875,1.1175,5.8975,7.9875,5.7475,3.3275,3.8475,7.2875,3.3875,8.3975
